wwwwwwwwwwwwwwwwwwwwwwwww
po                     bw
wwwwww wwwwwwwwwwwwwwwwww
w                       w
w                       w
w                       w
w                       w
w                       w
w                       w
w                       w
w                       w
w                       w
w                       w
w                       w
w                       w
w                       w
w                       w
w                       w
w                       w
wwwwwwwwwwwwwwwwwwwwwwwtw
